online_shop,product_id,product_name,product_key,shop_name,condition,price,view_count,sold_count,rating_average,review_count
tokopedia,1624334615,Kemeja Unisex Erigo Short Shirt Gribson Rayon Navy - S,kemeja-unisex-erigo-short-shirt-gribson-rayon-navy-s,erigo,NEW,100000,36240,1331,4.9,832
tokopedia,2100139195,"COD KAOS DISTRO WANITA PRIA L XL BAJU ATASAN LENGAN PENDEK GROSIR - MOTIF RANDOM, L",cod-kaos-distro-wanita-pria-l-xl-baju-atasan-lengan-pendek-grosir-motif-random-l,cahayastore528,NEW,25000,28,1380,5,2
tokopedia,1631510527,Kaos Unisex Erigo T-Shirt Project Summer Cotton Combed Black - S,kaos-unisex-erigo-t-shirt-project-summer-cotton-combed-black-s,erigo,NEW,65000,25900,1260,4.8,743
tokopedia,1818406881,"KAOS PRIA BAJU MUSLIM KURTA POLOS ATASAN LAKI PAKAIAN COWO PANJANG - Abu Tua, M",kaos-pria-baju-muslim-kurta-polos-atasan-laki-pakaian-cowo-panjang-abu-tua-m,abahhusnashop,NEW,54150,41588,1234,4.8,520
tokopedia,876511936,Running Jersey - DK Basic Color Tee Man Green Army - XXL,running-jersey-dk-basic-color-tee-man-green-army-xxl,duraking,NEW,239000,89139,1263,4.9,796
tokopedia,1630984384,Kaos Unisex Erigo T-Shirt Japan Fun Ride Cotton Combed Black - S,kaos-unisex-erigo-t-shirt-japan-fun-ride-cotton-combed-black-s,erigo,NEW,65000,46999,1281,4.9,803
tokopedia,1142895956,Kemeja Pria Polos Lengan Pendek | baju Cowok Pendek Murah - M,kemeja-pria-polos-lengan-pendek-baju-cowok-pendek-murah-m,aljosa,NEW,65500,65177,1281,4.7,478
tokopedia,1060414621,"Okechuku TOMAS Baju Kaos Pria Oblong Model Korea Lengan Pendek Salur - Putih, XL fit to XXL",okechuku-tomas-baju-kaos-pria-oblong-model-korea-lengan-pendek-salur-putih-xl-fit-to-xxl,okechuku,NEW,39900,53922,1268,4.6,459
tokopedia,1944689002,"MATSUDA Kaos Polo Shirt Pria Kerah Fukui - GREY, M",matsuda-kaos-polo-shirt-pria-kerah-fukui-grey-m,matsudaapparel,NEW,85000,36265,1169,4.9,604
tokopedia,2084950139,"Part 3 - Kaos Polos New States Apparel 7200 Premium Cotton T-shirt - Burgundy Heathe, S",part-3-kaos-polos-new-states-apparel-7200-premium-cotton-t-shirt-burgundy-heathe-s,newstatesapparel,NEW,43000,15767,1186,4.9,433
