online_shop,product_id,product_key,shop_name,view_count,sold_count,rating_average,review_count,kategori_penjualan
tokopedia,516989136,kale-t-shirt-yovan-black-serat-kaos-pria-baju-pria-warna-black-m,kaleclothing,5467,294,4.9,187,Atas
tokopedia,676039719,kemeja-pantai-hawai-bali-xxxl-besar-atasan-pria-dan-wanita-baju-murah-biru,intanbali,15020,294,4.8,89,Atas
tokopedia,1631665309,kaos-unisex-erigo-t-shirt-stripe-cyra-cotton-combed-black-white-xxl,erigo,12796,291,4.8,191,Atas
tokopedia,1631624838,kaos-unisex-erigo-t-shirt-speed-wolf-cotton-combed-black-s,erigo,13024,290,4.8,170,Atas
tokopedia,1630856198,kaos-unisex-erigo-t-shirt-future-dragon-cotton-combed-black-s,erigo,13514,290,4.9,169,Atas
tokopedia,1633878797,kaos-unisex-erigo-t-shirt-holy-mountain-cotton-combed-burgundy-m,erigo,10261,287,4.9,184,Atas
tokopedia,1631512238,kaos-unisex-erigo-t-shirt-twin-dragon-cotton-combed-navy-m,erigo,11136,288,4.9,193,Atas
tokopedia,297372649,clear-water-baju-renang-diving-atasan-pria-lengan-panjang-ms012-hitam-l,marshalshop95,21232,284,4.8,130,Atas
tokopedia,615536310,baju-atasan-rajut-tangan-panjang-wanita-pria-baju-lengan-panjang,fafgaleri,15931,284,4.6,87,Atas
tokopedia,1633876560,kaos-unisex-erigo-t-shirt-holy-bougie-cotton-combed-navy-s,erigo,11112,287,4.8,195,Atas
tokopedia,2018677429,kaos-baju-atasan-pria-cowok-cowo-polos-hitam-murah-pria-katun-jumbo-hitam-l,cahyawalldecorshop,953,282,4.9,43,Atas
tokopedia,1630866959,kaos-unisex-erigo-t-shirt-erigo-dragon-cotton-combed-mustard-s,erigo,8800,282,4.8,192,Atas
tokopedia,1253974722,cm-kaos-distro-pria-t-shirt-pria-baju-pria-atasan-pria-freedom-maroon-m,camelshopdistro,8224,278,4.6,125,Atas
tokopedia,1221790684,dk-daily-active-wear-bi-colors-navy-white-regular-fit-s,duraking,15335,279,4.9,193,Atas
tokopedia,2256756372,baju-kaos-lengan-panjang-pria-atasan-cowok-vogo-fashion-kekinian-navy-standart,queenlabell,14039,256,4.6,146,Atas
tokopedia,1626711922,kemeja-unisex-erigo-short-shirt-dae-katun-khaki-s,erigo,12521,275,4.8,168,Atas
tokopedia,669467762,human-greatness-t-shirt-pink-s,humangreatness,6750,275,5.0,129,Atas
tokopedia,1631672290,kaos-unisex-erigo-t-shirt-stripe-cora-cotton-combed-white-black-m,erigo,7655,269,4.8,183,Atas
tokopedia,1687125588,kaos-unisex-erigo-t-shirt-dance-baby-cotton-combed-cream-s,erigo,10509,271,4.9,173,Atas
tokopedia,1147285428,human-greatness-t-shirt-lilac-s,humangreatness,9140,269,4.9,147,Atas
tokopedia,1824399407,kaos-unisex-erigo-t-shirt-louis-blues-cotton-combed-mustard-m,erigo,13210,266,4.8,171,Atas
tokopedia,1125529457,dk-super-light-v2-man-t-heather-seamless-anti-viral-mild-grey-slim-fit-m,duraking,15016,267,4.9,185,Atas
tokopedia,1221679054,dk-daily-active-wear-stripes-shirt-light-brown-slim-fit-s,duraking,10707,265,4.9,180,Atas
tokopedia,1956197556,t-shirt-polos-kaos-dewasa-polos-atasan-polos-pria-cotton-combed-30s-s,hazian-store,2882,262,4.9,31,Atas
