online_shop,product_id,product_key,shop_name,view_count,sold_count,rating_average,review_count,kategori_penjualan
tokopedia,1460078555,baju-atasan-kemeja-rayon-motif-wanita-big-size-jumbo-lucu,indopattern,2259,48,4.8,33,Menengah
tokopedia,1441971260,atasan-wanita-bahan-rajut-slim-lembut-baju-rajut-mocca,meccacollectionbandung,1497,48,4.8,21,Menengah
tokopedia,1633468297,mybamus-oversize-belrissa-shirt-white-m15939-r5s5,mybamus-official,4870,47,4.8,30,Menengah
tokopedia,640627767,kemeja-wanita-real-pict-baju-atasan-wanita-blouse-terbaru-melina-tunik,lzonafashion,8418,48,4.5,28,Menengah
tokopedia,1321285986,baju-atasan-tanktop-senam-wanita-olahraga-sport-zumba-aerobic-yoga-hijau,galaxygemilang,887,48,4.8,20,Menengah
tokopedia,670539756,baju-atasan-wanita-terbaru-tunik-remaja-polos-kombinasi,domainaa,12422,48,4.8,22,Menengah
tokopedia,1654199870,manset-kaos-wanita-jumbo-atasan-baju-dalaman-manset-termurah,lattishacollection,392,48,4.8,12,Menengah
tokopedia,25171935,kemeja-style-korea-atasan-baju-kotak-fashion-wanita-pakaian-celana-new,fashionkorea8,14655,48,3.6,19,Menengah
tokopedia,980760287,blouse-laura-baju-atasan-wanita-terbaru-fashion-murah-krem,grosirdress,3749,43,4.5,25,Menengah
tokopedia,1905691211,baju-peplum-murah-blouse-wanita-kerja-atasan-wanita-bunga-summer-pink,pikoid,10003,47,4.9,23,Menengah
tokopedia,422408349,blazer-set-wanita-outerwear-atasan-murah-kerja-formal-outer-baju-cewek,riniyara,4786,47,4.8,24,Menengah
tokopedia,1140590949,blouse-batik-cewek-modern-atasan-cantik-etnik-baju-wanita-murah-brown,acesakurafashion,6494,47,4.8,25,Menengah
tokopedia,769933045,fouganza-kaos-polo-berkuda-wanita-f500-biru-tua-decathlon-8575959-xxs,decathlon,3206,47,4.8,14,Menengah
tokopedia,1591043485,berrybenka-baju-atasan-kemeja-wanita-sophie-halle-buttoned-shirt-dusty-pink-one-size,berrybenka,6997,45,4.8,32,Menengah
tokopedia,1245271291,colorbox-puff-sleeves-shirt-i-blwkey120f017-black-black-xs,colorboxid,3910,47,4.7,21,Menengah
tokopedia,1381489307,blouse-big-size-batik-wanita-atasan-batik-baju-kerja-big-size-seragam-s,putrinasya,4740,46,4.5,22,Menengah
tokopedia,245866896,baju-atasan-kemeja-kerja-putih-polos-white-blouse-wanita-korea-import-1,amelie-wholesale,22628,46,4.6,16,Menengah
tokopedia,265429000,tiento-baselayer-rashguard-compression-long-sleeve-grey-gold-original-abu-abu-muda-xl,tiento,9217,46,4.8,27,Menengah
tokopedia,767988853,baju-atasan-wanita-terbaru-rafelia-tunik-muslim-murah-rempel-terbaru,hijabers88,14887,46,4.3,26,Menengah
tokopedia,299027614,fashion-wanita-baju-kekinian-blouse-brokat-atasan-lengan-panjang,enjieolshop,7552,46,5.0,13,Menengah
tokopedia,1574627175,set-baju-senam-aerobik-wanita-atasan-senam-dan-celana-panjang-senam-hijau-s,dnsportwear,1601,46,4.8,29,Menengah
tokopedia,613124322,fortklass-kamelia-baju-atasan-blouse-wanita-lengan-panjang-blus-cewek-merah,fortklass,5136,45,4.6,22,Menengah
tokopedia,1995296898,kaos-lengan-panjang-wanita-atasan-muslimah-baju-atasan-wanita-kaos-biru-l,zettastore,3923,46,4.9,27,Menengah
tokopedia,1245234325,baju-kaos-tshirt-atasan-bts-jimin-dynamite-bt21-cewek-wanita-oversize-merah-muda-s,onestopfashionid,5090,43,4.8,18,Menengah
tokopedia,322169331,hm-tunik-umbrella-katun-kemeja-atasan-top-pakaian-muslim-wanita-baju,white--shop,8434,44,4.0,26,Menengah
tokopedia,1357406124,baju-atasan-tunik-salwa-tunik-pakain-wanita-murah-casual-busui-casual-mocca-l,outfitmuslimbdg,4414,45,4.4,25,Menengah
tokopedia,607981582,fortklass-monalisa-baju-atasan-kemeja-pastel-rayon-kantor-wanita-hitam,fortklass,10107,45,4.6,22,Menengah
tokopedia,1896060017,kaos-life-goes-on-atasan-wanita-baju-distro-bahan-katun-premium-m-navy,fortunecotton,1184,45,4.8,13,Menengah
tokopedia,2096282599,kaos-bali-tie-dye-baju-wanita-tie-dye-baju-bali-tie-dye-atasan-bali-2,faith-id,1054,45,4.9,17,Menengah
tokopedia,385235193,baju-atasan-wanita-kaos-wanita-atasan-wanita-kaos-cewek-popcorn-merah-muda,mochini,8794,45,4.8,24,Menengah
tokopedia,457902883,baju-hoodie-crop-top-wanita-stripes-best-seller-shirt-3370,co5co,7377,44,4.6,16,Menengah
tokopedia,1928906155,atasan-batik-kombinasi-m-33-lilac-baju-blus-blouse-kerja-wanita-modern-xl,sovinska,4909,45,4.9,32,Menengah
tokopedia,2027174857,kaos-oblong-wanita-baju-murah-atasan-polos-melar-jumbo-size-lc-1503-kuning,sarangjeans,1811,43,4.8,17,Menengah
tokopedia,1716784971,baju-atasan-tie-dye-bali-atasan-wanita-tiedie-navy,hibako-shop,814,44,5.0,12,Menengah
tokopedia,1481442026,crop-top-korean-atasan-crop-wanita-baju-crop-cewek-biru,bestimportchina,3298,44,4.5,20,Menengah
tokopedia,1885367917,baju-atasan-wanita-blus-wanita-felicia-saku-2-kancing-variasi-kuning-mustard,butikbandungco,3242,44,5.0,21,Menengah
tokopedia,1535125094,pola-baju-instan-kemeja-tunik-i-menjahit-i-blus-wanita-i-atasan-gamis-s,kirani,2022,43,4.9,24,Menengah
tokopedia,1733678238,yumma-blouse-wanita-korea-baju-atasan-muslim-lengan-panjang-terbaru-dusty,yehaoutfits,16351,44,4.4,27,Menengah
tokopedia,1024986221,old-navy-loose-tunic-tee-stripe-baju-atasan-kaos-wanita-branded-stripe-bw,shoppingcrazee,2036,43,5.0,17,Menengah
tokopedia,1388938485,kaos-wanita-shadow-mickey-baju-atasan-wanita-bahan-cotton-combed-30s-m-hitam,yendistro,1315,43,4.5,25,Menengah
tokopedia,1322500203,vinka-blouse-bahan-katun-linen-baju-atasan-blouse-wanita-terbaru-hitam,alizahijaboutfit,6975,44,4.5,31,Menengah
tokopedia,1320784529,wina-crop-shirt-white-lookboutiquestore-l,lbs-store,2648,44,4.9,18,Menengah
tokopedia,1405544302,atasan-jumbo-wanita-baju-bali-tie-die-jumbo-wanita-rayon-berkwalitas-motif-8,deedstore,684,44,4.8,18,Menengah
tokopedia,731993520,monellina-hanny-baju-kaos-atasan-murah-wanita-kekinian-ungu-l,monellinafashion,4770,44,4.6,16,Menengah
tokopedia,1287954031,agrapana-baju-atasan-blouse-batik-wanita-couple-modern-abhitah-xxl,agrapana-batik,5897,43,4.9,31,Menengah
tokopedia,1722544834,tomoko-shirt-lilac-lookboutiquestore-s,lbs-store,1699,43,4.9,23,Menengah
tokopedia,1243141469,tiento-baselayer-baju-ketat-manset-long-sleeve-black-white-original-xs,tiento,5982,42,4.9,21,Menengah
tokopedia,1680047045,baju-kaos-senam-wanita-atasan-senam-wanita-kaos-aerobic-wanita-375-hitam-slimfit-wanita,dekaosshop,736,37,5.0,11,Menengah
tokopedia,1276893148,baju-atasan-polos-wanita-muslim-katlina-blouse-terminal-grosir-mustard,terminalgrosir,3802,43,4.8,25,Menengah
tokopedia,529645008,baju-blouse-atasan-batik-wanita-modern-nona-rara-mixmatch-yb-t0065-m,nonararabatik,7829,42,4.7,24,Menengah
tokopedia,893734874,kaos-v-neck-wanita-jumbo-basic-polos-baju-atasan-vneck-cewek-big-size-army,bigsizemart,3407,43,5.0,24,Menengah
tokopedia,2029092319,kaos-nb-dog-non-batwing-kaos-wanita-jumbo-cupcake-baju-atasan-wanita-1922-peach,paphika,2102,43,5.0,21,Menengah
tokopedia,328743993,baju-atasan-blouse-muslim-fashion-wanita-diamond-bordir,rondep,9382,42,4.9,21,Menengah
tokopedia,742084172,septa-garut-t0521-baju-atasan-blouse-batik-wanita-modern-nona-rara-xl,nonararabatik,6954,43,4.9,25,Menengah
tokopedia,591775459,boxy-sweater-premium-jumbo-baju-rajut-halus-sweater-atasan-wanita-se2-grey,tokokitabuka,6385,43,4.7,20,Menengah
tokopedia,1251096093,kaos-wanita-bts-map-of-the-soul-one-kecil-baju-atasan-remaja-cewek-hitam-s,dedigreat,2326,37,4.9,19,Menengah
tokopedia,1678539544,baju-tunik-lury-tunik-jumbo-baju-atasan-wanita-terbaru-tunik-murah-hitam-s,dalelahijab,5611,40,4.3,30,Menengah
tokopedia,2100909475,peace-shortsleeve-sport-top-twc-2021-s,insightunlimited,1075,41,5.0,21,Menengah
tokopedia,1138677022,kalina-tbs-t0620-baju-atasan-blouse-batik-wanita-modern-nona-rara-s,nonararabatik,8212,41,4.8,25,Menengah
tokopedia,1629588484,baju-kaos-atasan-tshirt-katun-wanita-chibi-jin-bt21-bts-cewek-import-merah-muda-s,onestopfashionid,1835,42,4.5,21,Menengah
tokopedia,1254666336,blouse-wanita-terbaru-korea-baju-atasan-wanita-terbaru-felancy-l-xl-turkis,17wear,3309,41,4.3,24,Menengah
tokopedia,1852656021,kaos-wanita-bear-xxl-oversized-baju-atasan-wanita-hitam-allsize,carotyles,1153,36,4.9,16,Menengah
tokopedia,1190135699,kaos-oblong-wanita-baju-murah-atasan-motif-kartun-melar-lc-1507-retro-putih,sarangjeans,1442,42,4.7,19,Menengah
tokopedia,637812542,baju-atasan-wanita-murah-atasan-korea-import-baju-kantor-sandara-top-hijau-m,dailylookindonesia,10584,41,4.6,13,Menengah
tokopedia,1622463110,baju-tie-dye-kaos-polos-tie-dye-crop-top-candy-cewek-kaos-wanita-s,vemqystore-id,1650,39,5.0,20,Menengah
tokopedia,1442717401,atasan-olahraga-wanita-baju-kaos-olahraga-tangan-panjang-wanita-polos-utama-l-xl,veilid,1372,39,5.0,19,Menengah
tokopedia,2019245448,atasan-baju-lukis-khas-bali-wanita-hitam,todishoop,1207,42,4.8,13,Menengah
tokopedia,420783141,bl-savana-loreng-baju-atasan-wanita-0117-scf,supermodel-tkpd,4666,41,4.8,12,Menengah
tokopedia,1222122534,set-atasan-bawahan-wanita-baju-rumah-santai-adem-cotton-combed,rajutstarfashion,1580,40,4.9,10,Menengah
tokopedia,1279201984,baju-atasan-tunik-katun-toyobo-elegan-modern-tunic-wanita-premium-021-merah-bata,aisyahstore99,7155,34,4.9,22,Menengah
tokopedia,850190033,mango-shirt-pauli-putih-xs,mango,4473,41,5.0,19,Menengah
tokopedia,1427095880,colorbox-printed-crop-shirt-i-tskkey220l034-off-white-off-white-s,colorboxid,2797,38,4.7,14,Menengah
tokopedia,1347707908,baju-tunik-wanita-atasan-muslim-lengan-panjang-kaos-tunik-blouse-hijab-yellow-tulisan-coffee,pilofashionshop,4062,41,4.3,16,Menengah
tokopedia,1526704287,oldnavy-38-boyfriend-slub-tee-baju-atasan-kaos-wanita-branded-white,shoppingcrazee,1517,41,4.7,18,Menengah
tokopedia,791539662,atasan-cewek-baju-pelangi-bali-baju-pantai-wanita-kaos-katun-rayon-random,hibako-shop,1449,41,4.6,7,Menengah
tokopedia,1305414955,gianti-tenun-t0641-baju-atasan-blouse-batik-wanita-modern-nonarara-s,nonararabatik,8034,41,4.9,20,Menengah
