online_shop,product_id,product_name,product_key,shop_name,condition,price,view_count,sold_count,rating_average,review_count
tokopedia,269314074,Baju Tank Top Wanita merek Denla Tally S 2005 Dijamin Murah - Hitam,baju-tank-top-wanita-merek-denla-tally-s-2005-dijamin-murah-hitam,tokolingerieku,NEW,26550,17039,957,4.9,224
tokopedia,1140013789,Jojoba Jumbo Baju Atasan Wanita Big Size Motif Bunga Lengan Panjang - Ayumi Maroon,jojoba-jumbo-baju-atasan-wanita-big-size-motif-bunga-lengan-panjang-ayumi-maroon,paphika,NEW,76000,79873,932,4.8,402
tokopedia,1351149090,Baju Singlet Tank Top Wanita Merek Denla Tally S 2015 Dijamin Murah - Navy,baju-singlet-tank-top-wanita-merek-denla-tally-s-2015-dijamin-murah-navy,tokolingerieku,NEW,29750,19583,888,4.9,199
tokopedia,358562044,Atasan Wanita Hasna Blouse Baju Muslim Blus Muslim - Abu,atasan-wanita-hasna-blouse-baju-muslim-blus-muslim-abu,openols,NEW,58500,55069,861,4.9,174
tokopedia,1749235723,"Tunik Ailen Baju Atasan Wanita Fashion Muslim Bahan Katun - Navy, XL",tunik-ailen-baju-atasan-wanita-fashion-muslim-bahan-katun-navy-xl,shafiyya,NEW,50000,58256,821,4.5,452
tokopedia,511183824,Baju Atasan Blouse Tunik Wanita Baju Muslim Blus Monna Jumbo Blouse - Putih,baju-atasan-blouse-tunik-wanita-baju-muslim-blus-monna-jumbo-blouse-putih,my1stshop,NEW,50000,48283,784,4.6,270
tokopedia,359774200,Baju Atasan Wanita Bloomy Blouse Tunik Baju Muslim - Mocca,baju-atasan-wanita-bloomy-blouse-tunik-baju-muslim-mocca,openols,NEW,58500,47980,771,4.8,122
tokopedia,304196252,Atasan Baju Wanita Blouse Gita Murah Berkualitas - Navy,atasan-baju-wanita-blouse-gita-murah-berkualitas-navy,kedai-baju,NEW,42700,75402,737,3.9,287
tokopedia,2070588618,"KAOS TUMBLR TEE COFE BORDIR ATASAN BAJU T SHIRT WANITA CEWEK PEREMPUAN - Hitam, ALLSIZE",kaos-tumblr-tee-cofe-bordir-atasan-baju-t-shirt-wanita-cewek-perempuan-hitam-allsize,carotyles,NEW,29000,77745,717,4.8,271
tokopedia,1922192950,"tunik baju batik wanita atasan best seller - Random, M",tunik-baju-batik-wanita-atasan-best-seller-random-m,batikawab,NEW,55125,40717,679,4.7,198
tokopedia,546339644,baju tunik muslik wanita terbaru / hilda tunik / atasan murah grosir,baju-tunik-muslik-wanita-terbaru-hilda-tunik-atasan-murah-grosir,senshigroupstore,NEW,65000,100083,667,4.5,316
tokopedia,298687664,mica jeans blouse - tunik - top - atasan wanita - baju murah - BIRU TUA JEANS,mica-jeans-blouse-tunik-top-atasan-wanita-baju-murah-biru-tua-jeans,yucwholesale,NEW,70000,68642,661,4.5,286
tokopedia,359301535,Baju Gamis Wanita / Baju Atasan Wanita Muslim 494 - Grey,baju-gamis-wanita-baju-atasan-wanita-muslim-494-grey,fateen,NEW,130900,52251,662,4.8,231
tokopedia,1213163055,"Atasan Baju Wanita Modern | Dress Tunik Batik Spesial Baju Kerja M-XXL - Tunik Batik, M",atasan-baju-wanita-modern-dress-tunik-batik-spesial-baju-kerja-m-xxl-tunik-batik-m,em-ys,NEW,55000,28541,639,4.7,216
tokopedia,1888931829,Atasan Pelangi Bali | Baju Wanita | Kaos Murah | Kaos Pelangi - 3) Ungu-Biru,atasan-pelangi-bali-baju-wanita-kaos-murah-kaos-pelangi-3-ungu-biru,baliswalayan,NEW,15500,5047,656,4.9,108
tokopedia,373174837,baju gamis batik zara sogan atasan batik wanita baju batik muslimah,baju-gamis-batik-zara-sogan-atasan-batik-wanita-baju-batik-muslimah,akmalsabatik,NEW,80000,71523,642,4.8,225
tokopedia,1576176620,Manset Baju/Daleman Jersey Murah/Atasan Wanita - Navy,manset-baju-daleman-jersey-murah-atasan-wanita-navy,mawarofficialstoreid,NEW,15000,3601,633,4.7,120
tokopedia,1613750856,"Tunik Hijab Set Olahraga Baju Senam Tennis Bersepeda Yoga - PINK TUNIK, L-XL",tunik-hijab-set-olahraga-baju-senam-tennis-bersepeda-yoga-pink-tunik-l-xl,hitjabnco,NEW,75000,16926,639,4.9,212
tokopedia,1107174330,Jumbo Kuernavy [Baju Atasan Wanita 0117] RHW Tunik - Navy,jumbo-kuernavy-baju-atasan-wanita-0117-rhw-tunik-navy,supermodel-tkpd,NEW,74000,111600,618,4.4,205
tokopedia,483276246,"Baju atasan - kemeja wanita - Blouse wanita gaya korea with ribbon - Merah, L",baju-atasan-kemeja-wanita-blouse-wanita-gaya-korea-with-ribbon-merah-l,my1stshop,NEW,59900,51127,598,4.6,206
tokopedia,236874183,Baju Atasan Wanita Terbaru Inna 2 Top Tunik Muslim Terbaru,baju-atasan-wanita-terbaru-inna-2-top-tunik-muslim-terbaru,hijabers88,NEW,59800,82622,601,4.6,276
tokopedia,381685684,Baju Atasan Kantor KEMEJA KARET JUMBO Blouse Kemeja Wanita - Merah Muda,baju-atasan-kantor-kemeja-karet-jumbo-blouse-kemeja-wanita-merah-muda,my1stshop,NEW,51000,54331,567,4.5,211
tokopedia,1388653404,"Kaos wanita love / baju atasan wanita cotton combed 30s - M, Hitam",kaos-wanita-love-baju-atasan-wanita-cotton-combed-30s-m-hitam,yendistro,NEW,29900,13149,554,4.7,229
tokopedia,631101064,CAROLINE BAJU ATASAN KEMEJA WANITA LENGAN PANJANG KEMEJA KERJA CEWEK - NAVY,caroline-baju-atasan-kemeja-wanita-lengan-panjang-kemeja-kerja-cewek-navy,fortklass,NEW,28000,97056,559,4.3,187
tokopedia,374578034,Yoenik Apparel Kikan Shirt Tops Khaki M14379 R1S2,yoenik-apparel-kikan-shirt-tops-khaki-m14379-r1s2,yoenik-apparel,NEW,44900,61072,529,4.8,308
tokopedia,1419792729,"Baju Batik Atasan Wanita/Blouse Batik Kombinasi - S, Daun no.3",baju-batik-atasan-wanita-blouse-batik-kombinasi-s-daun-no-3,santy-,NEW,44900,29285,521,4.8,195
tokopedia,631101344,FortKlass BAJU ATASAN KEMEJA WANITA LENGAN PANJANG KEMEJA KERJA CEWEK - Hitam,fortklass-baju-atasan-kemeja-wanita-lengan-panjang-kemeja-kerja-cewek-hitam-9b5a,fortklass,NEW,31000,44780,514,4.4,230
tokopedia,164591138,Blouse Batik Wanita/ Atasan Wanita/ Baju Kemeja Wanita Batik Kerja 05,blouse-batik-wanita-atasan-wanita-baju-kemeja-wanita-batik-kerja-05,batikalita,NEW,63500,62465,508,4.8,221
tokopedia,1144007071,"Baju Kaos Fitnes Lari Gym Senam Olahraga WANITA Ladies Atasan Adl02 - Kuning, M",baju-kaos-fitnes-lari-gym-senam-olahraga-wanita-ladies-atasan-adl02-kuning-m,rrsportjuwana,NEW,35000,11138,510,4.6,164
tokopedia,2233091806,"Daster Midi, Dress Santai, Baju Tidur, Piyama, Atasan Batik BPT002-116 - BPT002-326A",daster-midi-dress-santai-baju-tidur-piyama-atasan-batik-bpt002-116-bpt002-326a,alhadi,NEW,15500,13336,510,4.6,101
tokopedia,678203093,damai fashion - baju atasan kaos wanita tumblr Hi! - Putih,damai-fashion-baju-atasan-kaos-wanita-tumblr-hi-putih,lvco,NEW,10500,15537,494,4.5,208
tokopedia,370274525,"[POLO COUNTRY] CLASSIC POLO SHIRT WANITA - Putih, S",polo-country-classic-polo-shirt-wanita-putih-s,polocountryid,NEW,100000,31641,508,4.8,254
tokopedia,1578145977,"Atasan Tshirt Baju Kaos Wanita Remaja Cewek BTS BE READY Murah Terbaru - LILAC, S",atasan-tshirt-baju-kaos-wanita-remaja-cewek-bts-be-ready-murah-terbaru-lilac-s,onestopfashionid,NEW,30900,23466,488,4.7,225
tokopedia,1772460584,Baju Atasan Wanita Terbaru Fisa Tunik Full Kancing FREE BELT - navy,baju-atasan-wanita-terbaru-fisa-tunik-full-kancing-free-belt-navy,hijabafwa,NEW,65000,56554,490,4.7,294
tokopedia,168235195,Baju polos crop top / atasan wanita / kaos,baju-polos-crop-top-atasan-wanita-kaos,rikaberjualan,NEW,25000,42515,487,4.2,84
tokopedia,575017022,Baju atasan kemeja wanita Jumbo kantor big size XXXL - Milo,baju-atasan-kemeja-wanita-jumbo-kantor-big-size-xxxl-milo,my1stshop,NEW,54900,30923,471,4.6,215
tokopedia,567223128,Kemeja Corak Jumbo K130 Baju Atasan Wanita Bigsize,kemeja-corak-jumbo-k130-baju-atasan-wanita-bigsize,paphika,NEW,74000,19841,462,4.9,155
tokopedia,525314644,"Baju Atasan Wanita Jumbo Diana Blouse Tunik Muslim Bigsize - Marun, 3L",baju-atasan-wanita-jumbo-diana-blouse-tunik-muslim-bigsize-marun-3l,renneofficial,NEW,60000,36070,455,4.8,144
tokopedia,259770617,Blouse Batik Super Jumbo Bigsize Baju Atasan Wanita Big Size 373 vol 2,blouse-batik-super-jumbo-bigsize-baju-atasan-wanita-big-size-373-vol-2,paphika,NEW,83000,46654,453,4.9,187
tokopedia,1963496981,"BAJU WANITA BEHAPPY BAHAN KATUN FASHION ATASAN KAOS WANITA PEREMPUAN - Hijau, OVERSIZE",baju-wanita-behappy-bahan-katun-fashion-atasan-kaos-wanita-perempuan-hijau-oversize,metforyouu,NEW,34000,21785,452,4.8,195
tokopedia,1798065506,OVERSIZED SHIRT/ATASAN WANITA LENGAN PANJANG/KEMEJA WANITA GOBOR/SHIRT,oversized-shirt-atasan-wanita-lengan-panjang-kemeja-wanita-gobor-shirt,caviarwear,NEW,175000,259,453,5,3
tokopedia,356386024,Maxi Dress Jumbo 919 - Baju Atasan wanita Jumbo 919,maxi-dress-jumbo-919-baju-atasan-wanita-jumbo-919,bibigsizefashion,NEW,96900,8938,442,5,148
tokopedia,1472384463,baju jumbo wanita atasan big size wanita size XXXXL - DIPILIH SAJA,baju-jumbo-wanita-atasan-big-size-wanita-size-xxxxl-dipilih-saja,deedstore,NEW,29750,6964,444,4.8,133
tokopedia,1265240284,"Baju Atasan Wanita / Tunik Baju Batik Wanita / Blouse Batik Kantor An2 - Nomer 1 - 38, M",baju-atasan-wanita-tunik-baju-batik-wanita-blouse-batik-kantor-an2-nomer-1-38-m,grosirkokobatik,NEW,57000,15158,416,4.6,155
tokopedia,474780861,atasan rajut import wanita/blouse wanita import/vintage clothes - Putih,atasan-rajut-import-wanita-blouse-wanita-import-vintage-clothes-putih,choosemee,NEW,150000,4883,409,5,30
tokopedia,879459119,ATASAN SWEATER WANITA BAJU RAJUT TRIBAL ZIGGY STRIPE / MOZZI OUTWEAR - MAROON,atasan-sweater-wanita-baju-rajut-tribal-ziggy-stripe-mozzi-outwear-maroon,lattinashop,NEW,41500,39655,394,4.7,201
tokopedia,363235662,kaos polos Vneck basic bahan spandek (1kg=7pc) baju atasan wanita,kaos-polos-vneck-basic-bahan-spandek-1kg-7pc-baju-atasan-wanita,shalsabillastore,NEW,19800,4818,391,4.9,41
tokopedia,1039324073,"baju atasan kaos lengan panjang twist cewek wanita hijabers polos - L, Hitam",baju-atasan-kaos-lengan-panjang-twist-cewek-wanita-hijabers-polos-l-hitam,titaniaha,NEW,35900,30387,390,4.5,110
tokopedia,352589201,Mybamus Hanun Shirt Tops Mocca M12587 R9S3,mybamus-hanun-shirt-tops-mocca-m12587-r9s3,mybamus-official,NEW,54900,44075,388,4.8,226
tokopedia,363231702,RYU TOP XXL LD=110cm baju atasan wanita terbaru atasan wanita muslim,ryu-top-xxl-ld-110cm-baju-atasan-wanita-terbaru-atasan-wanita-muslim,shalsabillastore,NEW,53820,15437,387,4.5,46
tokopedia,1865417700,Baju Atasan Wanita Muslim Blouse Tunik Tamara / Baju Hijab Murah - Navy,baju-atasan-wanita-muslim-blouse-tunik-tamara-baju-hijab-murah-navy,budisutisna12,NEW,35000,33714,387,4.6,124
tokopedia,575017678,Baju atasan kemeja wanita Jumbo kantor big size XXL - Maroob,baju-atasan-kemeja-wanita-jumbo-kantor-big-size-xxl-maroob,my1stshop,NEW,50000,26766,379,4.5,162
tokopedia,1629587960,FLEXZONE Lengan Panjang Sport Aerobik Yoga Hitam Essential FPS-504HT - M,flexzone-lengan-panjang-sport-aerobik-yoga-hitam-essential-fps-504ht-m,flexzone,NEW,199000,13712,379,4.9,224
tokopedia,510511079,Blouse Jumbo Wanita BC2 Baju Atasan Bigsize,blouse-jumbo-wanita-bc2-baju-atasan-bigsize,paphika,NEW,75000,25923,378,4.9,162
