online_shop,product_id,product_name,shop_id,shop_city,is_official,price,sold_count,rating_average,view_count,liked_count
shopee,3019164180,new official  kaos polos pria / kaos oneck polos pe / kaos distro pria / kaos polos termurah,396189164,KOTA BANDUNG,False,15000,51422,4.39,429610,7863
shopee,4171528058,"koko kurta terbaru ""azzahir"" 2 model berkualitas bahan toyobo import",100317235,KAB. PEKALONGAN,False,60000,51190,4.62,3153,694
shopee,1725638453,kaos poloshirt/kaos kerah kombinasi,106869000,KOTA JAKARTA BARAT,False,28000,50807,4.73,2281,8749
shopee,6669196643,kaos distro pria lengan pendek murah terbaru bisa cod bayar di tempatgrlt,29691786,KAB. BANDUNG,False,37400,49696,4.64,103022,9325
shopee,2763296765,murah kaos pria marcelo burlon premium kaos distro 3d print oblong bangkok thailand owl cook blue,17761913,KOTA JAKARTA BARAT,False,29900,49181,4.66,89590,21699
shopee,2558421540,kaos pria distro lengan pendek baju grosir pakaian metallica acdc tshirt surfing jepang kaos japan samurai hnm anime band acdc memphis anime,20703244,KOTA BANDUNG,False,29000,49139,4.66,515732,27354
shopee,4778044625,koko syubbanul muslimin koko azzahir koko baju,141502200,KAB. PEKALONGAN,False,59000,48976,4.57,3606,7323
shopee,5218878394,kaos distro termurah  pria  murah cod wanita  t shirts  apparel,221806428,KAB. MAGELANG,False,9500,48926,4.66,15138,5448
shopee,1700722433,"baju running  ""pria"" lari gym fitnes olahraga **nk a01",86264154,KOTA JAKARTA BARAT,False,31900,47478,4.88,12765,4246
shopee,5162994618,kaos off white  full tag logo original / kaos pria / kaos wanita / distro / pria / atasan / kaos polos / baju kaos pria / uniqlo / kaos distro / t-shirt,136379546,KOTA BANDUNG,False,49500,47443,4.67,5726,2429
shopee,2201238109,new official  kaos polos pria / kaos oneck polos pe / kaos distro pria / kaos polos termurah,35696963,KOTA JAKARTA BARAT,False,16000,46708,4.68,7523,4569
shopee,2248558496,promo kemeja pria lengan panjang polos formal casual baju cowok kerja santai,49729604,KAB. PEKALONGAN,False,35000,45623,4.66,9434,9777
shopee,1483480405,koko agam koko tangan pendek 3/4 baju koko model pakistan terlaris koko dewasa,2975913,KOTA JAKARTA BARAT,False,54450,45053,4.49,729,28020
shopee,2574804783,tasigi kaos polo shirt pria kerah sanghai / kaos kerah pria / baju polo pria / polo pria dewasa,110803843,KOTA JAKARTA BARAT,False,29900,44897,4.66,76540,7021
shopee,6786460557,kemeja pria lengan panjang kemeja kasual baju cowok polos jumbo big size,210826452,KAB. PEKALONGAN,False,39805,44172,4.52,1131,396
shopee,7354326710,asy kaos pria ii kaos distro sablon digital berkualitas bisa unisex 009,210651172,KOTA JAKARTA BARAT,False,25500,43111,4.55,16341,5268
shopee,7154911337,kaos nasa heron preston / h&m / kaos / baju / atasan / pakaian pria / kaos wanita / t-shirt / kaos distro / uniqlo,136379546,KOTA BANDUNG,False,49500,43017,4.7,36508,5892
shopee,1727619609,1-8 tahun sm baju kaos anak laki laki perempuan cowok superhero distro bandung hitam grosir,989272,KOTA BANDUNG,False,7000,42628,4.86,3714,6505
shopee,960887729,hd kaos raglan pendek  baju raglan polos  fashion reglan pendek  kaos distro,26244354,KOTA JAKARTA BARAT,False,18000,42325,4.74,3430,5434
shopee,2641899824,kaos polos misty / oneck / unisex / tangan pendek / baju pria premium,140143682,KOTA JAKARTA UTARA,False,29900,41769,4.89,13126,14368
shopee,4836463724,kaos anak laki gajah beruang robot dino giraffe hippo 1-7 tahun baju atasan anak fashion termurah,7108035,KOTA JAKARTA PUSAT,False,12500,41668,4.79,72132,8536
shopee,1727617383,1-8 tahun sm baju kaos anak distro superhero laki laki cowok perempuan grosir three point anak umur junior 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 tahun,989272,KOTA BANDUNG,False,7000,41345,4.87,13829,5476
shopee,108045136,kaos polo shirt unisex / kaos kerah warna polos / poloshirt / polo shirt brothershop,12968257,KOTA SURAKARTA (SOLO),False,28500,41343,4.76,6699,7800
shopee,6114612597,size m l xl xxl new kemejapria lengan pendek 848vo pilot pangkat 4029ys batik pria turambi,120703237,KAB. PEKALONGAN,False,25000,41071,4.69,7866,3089
shopee,2691198701,kaos 3second bm ori kaos distro kaos pria atasan pria,25399335,KAB. PATI,False,28000,40728,4.78,29300,12983
shopee,7102102614,kaos anak cowok - unisex,174165870,KOTA JAKARTA BARAT,False,10900,40580,4.9,843,4500
shopee,4436057627,kaos nasa h&m original / kaos uniqlo / kaos oversize / kaos distro / hnm / kaos pria / kaos wanita / tshirt,157666757,KOTA BANDUNG,False,49300,39823,4.72,44072,6520
shopee,1905098062,baju distro danilo ukuran m-l-xl kaos lengan panjang good quality,82714856,KOTA JAKARTA BARAT,False,30000,39486,4.59,23576,6205
shopee,5854250597,kaos nasa h&m original full tag - kaos surfing - uniqlo - kaos pria - hnm - kaos distro - kaos oversize - atasan - baju,18827488,KOTA BANDUNG,False,49300,39015,4.7,60150,5917
shopee,856036821,kaos pria lengan panjang baju kaos polos katun combed murah,3834887,KOTA JAKARTA BARAT,False,24900,38799,4.58,2047,6268
shopee,6382691898,baju koko kerancang padang full bordir dan sulam tangan lengan panjang dan pendek,371501174,KOTA JAKARTA PUSAT,False,145000,38156,4.69,299,125
shopee,2862019883,kaos 3second kaos distro part 8 baju kaos pria baju pria pakaian pria kaos atasan pria tshirt,176456485,KOTA SEMARANG,False,39600,38015,4.8,18867,9998
shopee,7174904713,bisa cod kemko pria dewasa baju koko qurta dewasa lengan panjang,338108292,KAB. PEKALONGAN,False,74150,37707,4.58,5007,499
shopee,5735753948,baju atasan anak laki fashion captain spiderman batman hulk 1-7 tahun kaos anak laki superhero murah,7108035,KOTA JAKARTA PUSAT,False,11900,37052,4.78,35049,5288
shopee,6575539069,baju koko kurta lengan pendek / koko kurta casual sf77,100282296,KOTA PEKALONGAN,False,33250,36750,4.56,999,134
shopee,299913951,promo nf original kemeja surfing distro pria motif simpel bunga dan hem baju batik bisa seragam,22314661,KAB. PURWOREJO,False,48750,36474,4.73,2036,21789
shopee,6553603892,f24 / lutffy onne piecce sandar / kaos pria / kaos distro,142067989,KOTA JAKARTA BARAT,False,13000,36037,4.63,38662,7376
shopee,1301586823,cod i kaos distro murah  minimal belanja  6 kaos ,25623223,KAB. SLEMAN,False,11920,35941,4.81,37921,2158
shopee,303450848,kaos polos gildan softstyle 63000 original murah jakarta baju import,25077301,KOTA JAKARTA SELATAN,False,31000,35676,4.79,5713,8446
shopee,760739800,1-8 tahun smlxl pusat grosir ecer kaos distro anak cowo bandung konveksi superhero three point robot thirteen elysium,7125108,KOTA BANDUNG,False,17999,34822,4.81,6875,7057
shopee,5313250942,kaos 3second kaos distro pria baju kaos pria original bm grlt 3second,29199424,KOTA BANDUNG,False,36000,34421,4.74,101875,5152
shopee,3913035462,d5 / kaos squiid  happy / kaos pria / kaos distro / pejuang rupiah,142067989,KOTA JAKARTA BARAT,False,13000,34399,4.63,9075,19944
shopee,2201153371,eiffelmall  baju oneck polos  kaos polos pria oneck  kaos distro pe  kaos distro keren,37255334,KOTA JAKARTA BARAT,False,15000,34360,4.7,1594,3182
shopee,6938243940, bisa cod  kaos polos distro pakaian pria wanita atasan baju polos kaos lengan pendek problem tshrt 420 v-neck o-neck oversize kaos polos hitam kaos distro baju pria baju wanita kaos polos baju kaos baju polos jumbo baju kaos distro,230510780,KOTA BANDUNG,False,7900,33817,4.02,54488,4372
shopee,1628023996,best seller 1-8th baju kaos anak laki laki  cowok distro truck oleng murah truk oleng campur,989272,KOTA BANDUNG,False,17999,32749,4.87,2678,5832
shopee,4717725681,kaos distro threesecond baju pria kaos pria,171344346,KAB. BANDUNG BARAT,False,47500,32609,4.65,27301,13049
shopee,1649125332,baju batik pria abadi batik kemeja batik pria lengan pendek terviral di shopee,50407900,KOTA PEKALONGAN,False,35000,32533,4.66,8432,3791
shopee,420594832,hd  baju raglan anak 3/4  reglan kids / raglan baby / baju reglan polos anak / kaos reglan anak,26244354,KOTA JAKARTA BARAT,False,15000,32234,4.79,1058,2743
