online_shop,product_id,product_name,shop_id,shop_city,is_official,price,sold_count,rating_average,view_count,liked_count
shopee,10332121725,baju kemeja wanita katun big size jumbo ld 130cm xxl xxxl 5171 kerja kantor ibu hamil menyusui batik,201177573,KOTA BEKASI,False,125500,150,5.0,165,5
shopee,12912390892,baju kemeja wanita a883 cewek ld 130cm katun jumbo big size kerja kantor ibu hamil menyusui xxl xxxl,263259999,KOTA BEKASI,False,124500,150,5.0,193,4
shopee,10847696689,cod blouse wanita fashion baju kantor atasan wanita,315182258,KOTA PEKALONGAN,False,94000,150,5.0,272,3
shopee,10442287966,kaos wanita premium / babyterry import / baju atasan wanita /di bordir,297124416,KOTA JAKARTA BARAT,False,33150,150,4.87,3004,46
shopee,12803053380,baju wanita tunik kirei,14569130,KOTA JAKARTA BARAT,False,29900,150,4.28,7447,107
shopee,7587669964,baju kemeja siga lengan panjang atasan big size jumbo wanita xl xxl baju hamil menyusui kerja kantor,261626910,KOTA BEKASI,False,112500,150,5.0,58,0
shopee,10251037724,baju kemeja wanita kerja kantor lengan panjang murah polos casual korea putih harian jumbo hitam rh1,393818670,KOTA BEKASI,False,15000,149,5.0,168,2
shopee,9982074385,hosofshopaholic - fumia blouse - pakaian wanita - atasan - blouse cewe - lengan panjang - all size,5049743,KAB. SLEMAN,False,109999,149,4.86,4310,262
shopee,7138866941,baju atasan pelangi bali,156657198,KOTA DENPASAR,False,13500,149,4.92,209,24
shopee,8707656758,prita blouse - atasan terbaru blouse lucu/atasan korea/moscrepe/family blous kemeja,177609161,KOTA SURAKARTA (SOLO),False,29999,149,4.75,3710,180
shopee,7852650247,kaos wanita  / baju superhero / tshirt cewek / kaos cewek / kaos wanita / baju kekinian / dekaos 207,37838433,KOTA TANGERANG SELATAN,False,33900,149,5.0,227,30
shopee,2763300843,terlaris sweater kekinian lengan panjang baju dingin atasan cowo remaja printing elegan,17761913,KOTA JAKARTA BARAT,False,39900,149,4.83,338,32
shopee,8814268029,baju kaos mickey and minnie atasan baju kaos oversize kaos wanita kaos cewek kaos combed30s,278638090,KOTA JAKARTA BARAT,False,30305,149,4.9,3096,74
shopee,7018190483,baju batik wanita modern monalisa genes mlxl asli pekalongan,172537170,KAB. PEKALONGAN,False,50000,148,4.69,3036,31
shopee,9236748124,kaos/tunik muslim>lengan panjang>polos>babytrry>cod,385182116,KOTA JAKARTA BARAT,False,36500,148,4.62,2605,100
shopee,7984505994,kaos wanita jumbo // baju wanita bigsize xxxl xxxxl // atasan wanita jumbo//baju wanita bigsize,16950920,KAB. SUMEDANG,False,120000,148,5.0,1358,41
shopee,6686520651,baju atasan kaos wanita murah jumbo salur big top,418038261,KOTA JAKARTA PUSAT,False,36000,148,4.82,3781,186
shopee,9912522480,baju wanita import - fashion import,376528648,KAB. TANGERANG,False,81500,148,4.97,397,19
shopee,4556427700,baju manset kaos rayon warna warna size xl,162364347,KAB. BOGOR,False,21875,148,4.78,322,19
shopee,4280370661,bm ~ atasan monalisa motif bunga  atasan  blouse,344069138,KOTA JAKARTA BARAT,False,33999,148,4.91,2156,88
shopee,8916200380,arfa style wiza tunik - katun rayon polos - baju ibu menyusui jumbo - termurah - cod,389415302,KOTA CIMAHI,False,82000,148,4.83,2778,466
shopee,13004637422,kaos beige katun oversize  baju kaos wanita tshirt tumblr tee khaki cream coklat basic korea,68399729,KOTA JAKARTA UTARA,False,28000,148,4.87,5442,147
shopee,10739555692,double lucky / toy story / kaos print / baju atasan wanita / all size,203556188,KOTA TANGERANG,False,49000,148,4.86,1916,54
shopee,2989849106,wear cameo nessie crop linen shortsleeve blouse - atasan wanita - kemeja linen wanita,68737144,KOTA JAKARTA BARAT,False,88000,148,4.78,7425,433
shopee,9436452200,jesica blouse top/blouse wanita/atasan wanita terbaru,327897199,KOTA JAKARTA BARAT,False,12300,148,4.09,1400,59
shopee,6737522179,kaos maroon oversize tshirt  baju katun tumblr tee wanita merah red basic bershka disney,2907559,KOTA JAKARTA UTARA,False,28000,148,4.93,688,112
shopee,8988957745,beatrice clothing miso blouse - atasan wanita,61293534,KOTA JAKARTA BARAT,True,150000,148,4.99,5256,96
shopee,4854206573,atasan wanita - kemeja crop polos - kemeja - baju kemeja polos - kemeja wanita - baju murah,121628246,KOTA TANGERANG,False,32800,147,4.29,7036,702
shopee,3656664093,aura tunik - atasan wanita tunik - baju wanita casual terbaru,287859397,KAB. BATANG,False,125000,147,4.77,2951,308
shopee,8912509413,baju wanita kaos bali baju bali xl - xxl  aneka motif halus serta lembut,133416239,KOTA PONTIANAK,False,18750,147,4.94,295,29
shopee,9204498358,kaos oblong wanita baju distro cewek atasan lengan pendek tumblr tee casual pakaian remaja dewasa,155002383,KOTA SURABAYA,False,36000,147,4.83,1861,80
shopee,6340777958,rottenklass zoya fashion baju crop wanita lengan pendek atasan cewe cewek,158874086,KOTA JAKARTA BARAT,False,24000,147,4.48,2751,220
shopee,12420236740,harga 85k / baju 1pcs,542844064,KAB. BOGOR,False,85000,147,4.98,780,1
shopee,8873232695,blouse lengan panjang wanita lucy baju atasan wanita kekinian blouse hijabers,268066987,KOTA JAKARTA BARAT,False,9900,147,4.24,1938,64
shopee,4396879052,new fina blouse - atasan wanita kekinian terbaru,35048775,KOTA JAKARTA BARAT,False,24500,147,4.72,8924,91
shopee,774778876,kaos 3second cewek atasan baju wanita t-shirt kaos distro new arrival lengan pendek terbaru,7986205,KOTA SALATIGA,False,45000,147,4.68,980,191
shopee,12316763768, bisa cod  blouse batik baju batik kantor wanita premium by batikid vol 002,547216443,KOTA PEKALONGAN,False,40000,147,5.0,316,3
shopee,6768816137,baju couple kitten - baju kembaran serasi sama pacar kaos kopel katun tumblr tee lucu,31664590,KOTA YOGYAKARTA,False,32000,147,4.83,2271,106
shopee,9126953966,kaos polos pendek warna vneck / t-shirt polos / deker baju / atasan wanita ukuran xxl,97776245,KOTA SURABAYA,False,20000,147,4.88,278,7
shopee,8515229020,baju bali jumbo wanita baju jumbo wanita atasan bigsize bahan rayon premium,273017526,KOTA JAKARTA BARAT,False,23750,146,4.82,545,52
shopee,8745625775,nj 520 atasan blouse brokat brukat  kondangan baju import baju murah baju permium,7046284,KOTA JAKARTA UTARA,False,99900,146,4.84,2673,118
shopee,9182330348,baju fashion w,481814152,KOTA TANJUNG PINANG,False,19500,146,0.0,105,0
shopee,9170648176,jdf shop 018 - victory sport top / baju atasan olah raga wanita,11295012,KOTA BEKASI,False,82500,146,4.89,3571,185
